id,sex,age,trace,Infected_Num
0,male,5,[3],7
296,female,73,[0],4
1012,female,78,"[8, 3]",5
1264,male,60,"[0, 9, 6]",1
1417,male,25,"[2, 3]",2
2392,female,18,[7],1
3153,female,32,"[3, 4, 6]",0
4487,male,35,"[1, 3, 5, 6, 8]",12
5378,female,6,[3],8
7523,female,18,"[4, 6]",1
7999,male,54,"[0, 4, 7]",4
8721,male,36,"[2, 4, 6, 8, 9]",5
10325,male,49,"[1, 3, 6, 7]",9
10369,male,22,"[0, 1, 2, 3, 4, 8]",1
10533,male,36,"[0, 1, 2, 6, 8, 9]",4
10985,female,25,"[3, 4, 6]",4
11086,female,59,"[1, 3, 9]",3
11310,male,43,"[8, 9, 7]",3
13311,male,79,[3],4
16108,female,36,"[8, 4, 5, 6]",3
16239,male,16,"[2, 3]",2
17052,male,64,[5],2
17468,female,63,"[9, 1]",0
17836,male,18,"[8, 2]",1
18700,female,6,[7],2
22128,male,25,"[8, 1, 9, 0]",2
23514,male,60,"[9, 1, 7]",3
23659,male,67,[6],3
23924,female,33,"[0, 2, 6, 7, 8]",4
24249,female,60,"[8, 0, 3, 6]",2
25139,male,22,"[0, 1, 5, 7, 9]",6
26974,male,25,"[9, 7]",5
28935,female,5,[6],1
29805,female,65,"[2, 7]",0
31341,male,48,"[9, 2, 7]",14
31663,female,71,[7],5
35240,female,33,"[8, 9, 2, 7]",14
36902,male,24,"[9, 3, 5, 7]",2
37898,male,55,[7],11
39623,male,10,[8],1
40836,male,20,"[8, 7]",2
41037,male,23,"[6, 7]",4
41648,male,52,[4],2
42278,female,51,"[1, 2, 4, 6, 8]",3
43514,male,53,"[9, 1, 7]",3
44340,male,18,[7],1
44504,male,17,[1],0
46417,female,28,"[4, 5, 7]",5
46835,female,64,[7],1
47013,female,20,[8],0
51199,male,62,[3],3
51885,male,56,"[9, 3, 6]",1
51976,male,59,"[8, 3]",4
51987,female,10,[1],0
52911,female,62,[6],1
54335,female,38,"[1, 4, 9]",3
54887,male,20,[3],0
55263,male,42,"[0, 1, 6]",4
