id,sex,age,trace,Infected_Num,0,1,2,3,4,5,6,7,8,9,place_been_to,trans_risk
0,female,78,[3],6,0,0,0,1,0,0,0,0,0,0,1,3
5,male,6,[4],0,0,0,0,0,1,0,0,0,0,0,1,1
11,male,11,[9],2,0,0,0,0,0,0,0,0,0,1,1,1
13,female,15,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
24,male,18,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
25,male,30,"[8, 0, 2, 4]",0,1,0,1,0,1,0,0,0,1,0,4,1
26,male,3,[6],0,0,0,0,0,0,0,1,0,0,0,1,1
27,male,1,[6],2,0,0,0,0,0,0,1,0,0,0,1,1
30,female,37,"[1, 3]",2,0,1,0,1,0,0,0,0,0,0,2,1
31,female,46,"[2, 5, 6]",0,0,0,1,0,0,1,1,0,0,0,3,1
37,male,74,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
40,male,57,"[0, 3, 6]",0,1,0,0,1,0,0,1,0,0,0,3,1
42,female,54,[2],1,0,0,1,0,0,0,0,0,0,0,1,1
43,male,73,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
46,female,78,[8],6,0,0,0,0,0,0,0,0,1,0,1,3
47,female,5,[1],1,0,1,0,0,0,0,0,0,0,0,1,1
50,male,38,"[0, 1, 3]",0,1,1,0,1,0,0,0,0,0,0,3,1
54,male,80,[8],0,0,0,0,0,0,0,0,0,1,0,1,1
55,female,55,[7],3,0,0,0,0,0,0,0,1,0,0,1,2
58,male,15,[2],0,0,0,1,0,0,0,0,0,0,0,1,1
60,male,38,"[9, 3]",0,0,0,0,1,0,0,0,0,0,1,2,1
63,male,18,"[9, 5, 7]",3,0,0,0,0,0,1,0,1,0,1,3,2
65,female,11,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
74,female,56,"[9, 5]",3,0,0,0,0,0,1,0,0,0,1,2,2
77,female,21,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
82,female,67,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
88,female,8,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
95,male,27,"[4, 7]",7,0,0,0,0,1,0,0,1,0,0,2,3
98,female,38,"[0, 9]",1,1,0,0,0,0,0,0,0,0,1,2,1
101,male,38,[1],0,0,1,0,0,0,0,0,0,0,0,1,1
103,male,46,"[8, 3]",0,0,0,0,1,0,0,0,0,1,0,2,1
112,female,23,[6],4,0,0,0,0,0,0,1,0,0,0,1,2
114,female,16,[9],0,0,0,0,0,0,0,0,0,0,1,1,1
119,male,30,"[3, 6]",0,0,0,0,1,0,0,1,0,0,0,2,1
122,male,8,[5],1,0,0,0,0,0,1,0,0,0,0,1,1
123,male,20,[9],3,0,0,0,0,0,0,0,0,0,1,1,2
128,male,37,"[1, 9]",0,0,1,0,0,0,0,0,0,0,1,2,1
134,female,59,[3],0,0,0,0,1,0,0,0,0,0,0,1,1
137,male,24,"[3, 7]",3,0,0,0,1,0,0,0,1,0,0,2,2
138,female,18,[7],0,0,0,0,0,0,0,0,1,0,0,1,1
139,male,37,"[1, 9, 7]",1,0,1,0,0,0,0,0,1,0,1,3,1
141,female,28,[8],0,0,0,0,0,0,0,0,0,1,0,1,1
143,male,48,[1],4,0,1,0,0,0,0,0,0,0,0,1,2
