id,sex,age,trace,Infected_Num,place_been_to,trans_risk
0,male,5,[3],7,1,3
296,female,73,[0],4,1,2
1012,female,78,"[8, 3]",5,2,2
1264,male,60,"[0, 9, 6]",1,3,1
1417,male,25,"[2, 3]",2,2,2
2392,female,18,[7],1,1,1
3153,female,32,"[3, 4, 6]",0,3,1
4487,male,35,"[1, 3, 5, 6, 8]",12,5,3
5378,female,6,[3],8,1,3
7523,female,18,"[4, 6]",1,2,1
7999,male,54,"[0, 4, 7]",4,3,2
8721,male,36,"[2, 4, 6, 8, 9]",5,5,2
10325,male,49,"[1, 3, 6, 7]",9,4,3
10369,male,22,"[0, 1, 2, 3, 4, 8]",1,6,1
10533,male,36,"[0, 1, 2, 6, 8, 9]",4,6,2
10985,female,25,"[3, 4, 6]",4,3,2
11086,female,59,"[1, 3, 9]",3,3,2
11310,male,43,"[8, 9, 7]",3,3,2
13311,male,79,[3],4,1,2
16108,female,36,"[8, 4, 5, 6]",3,4,2
16239,male,16,"[2, 3]",2,2,2
17052,male,64,[5],2,1,2
17468,female,63,"[9, 1]",0,2,1
17836,male,18,"[8, 2]",1,2,1
18700,female,6,[7],2,1,2
22128,male,25,"[8, 1, 9, 0]",2,4,2
23514,male,60,"[9, 1, 7]",3,3,2
23659,male,67,[6],3,1,2
23924,female,33,"[0, 2, 6, 7, 8]",4,5,2
24249,female,60,"[8, 0, 3, 6]",2,4,2
25139,male,22,"[0, 1, 5, 7, 9]",6,5,3
26974,male,25,"[9, 7]",5,2,2
28935,female,5,[6],1,1,1
29805,female,65,"[2, 7]",0,2,1
31341,male,48,"[9, 2, 7]",14,3,3
31663,female,71,[7],5,1,2
35240,female,33,"[8, 9, 2, 7]",14,4,3
36902,male,24,"[9, 3, 5, 7]",2,4,2
37898,male,55,[7],11,1,3
39623,male,10,[8],1,1,1
40836,male,20,"[8, 7]",2,2,2
41037,male,23,"[6, 7]",4,2,2
41648,male,52,[4],2,1,2
42278,female,51,"[1, 2, 4, 6, 8]",3,5,2
43514,male,53,"[9, 1, 7]",3,3,2
44340,male,18,[7],1,1,1
44504,male,17,[1],0,1,1
46417,female,28,"[4, 5, 7]",5,3,2
46835,female,64,[7],1,1,1
47013,female,20,[8],0,1,1
51199,male,62,[3],3,1,2
51885,male,56,"[9, 3, 6]",1,3,1
51976,male,59,"[8, 3]",4,2,2
51987,female,10,[1],0,1,1
52911,female,62,[6],1,1,1
54335,female,38,"[1, 4, 9]",3,3,2
54887,male,20,[3],0,1,1
55263,male,42,"[0, 1, 6]",4,3,2
55627,female,17,[8],5,1,2
56526,female,40,"[0, 1, 2, 3, 4, 6, 8]",12,7,3
60149,male,33,"[0, 2, 3, 5, 7, 9]",3,6,2
60410,female,6,[8],2,1,2
60462,male,32,"[0, 3, 5, 6, 7]",8,5,3
60760,female,79,[3],4,1,2
62792,male,8,[4],1,1,1
63195,male,22,"[0, 3]",1,2,1
63900,male,22,"[9, 5]",1,2,1
64240,male,24,"[1, 7]",5,2,2
64704,female,7,[1],3,1,2
65918,female,31,"[0, 4, 6]",5,3,2
66740,female,55,[6],12,1,3
67764,female,3,[5],3,1,2
70376,male,34,"[9, 3, 4, 7]",1,4,1
72731,male,37,"[1, 6, 7, 8, 9]",2,5,2
73837,female,22,"[0, 2, 3, 4, 5, 7]",0,6,1
74072,female,59,"[6, 7]",5,2,2
74256,female,32,"[1, 4, 6, 7]",5,4,2
75973,female,40,"[0, 1, 3, 5, 6, 7, 8]",1,7,1
76142,female,78,[3],5,1,2
76886,male,60,[0],3,1,2
79075,female,29,"[1, 2, 5, 7, 9]",5,5,2
79175,male,1,[3],5,1,2
79198,female,1,[4],1,1,1
81044,female,34,"[8, 9, 4, 7]",7,4,3
84409,male,3,[7],2,1,2
84572,male,29,"[8, 0, 3]",3,3,2
86875,male,33,"[8, 0, 4]",8,3,3
88049,female,4,[4],3,1,2
88409,male,39,"[3, 5, 7]",4,3,2
88593,female,28,"[8, 3, 5, 6]",7,4,3
89131,female,75,[2],4,1,2
91099,male,9,[8],1,1,1
93519,female,18,[1],4,1,2
93603,female,15,[8],0,1,1
94815,male,54,"[2, 3, 4, 6, 8]",9,5,3
94866,female,57,"[0, 1, 2]",6,3,3
95797,female,38,"[1, 3]",6,2,3
97791,male,65,[0],2,1,2
99038,male,7,[2],1,1,1
100640,male,17,[7],2,1,2
100979,female,57,"[0, 3]",1,2,1
101200,male,11,[4],4,1,2
101959,female,6,[0],1,1,1
102598,female,24,"[9, 3]",9,2,3
102822,female,50,"[0, 2, 3, 6, 8, 9]",2,6,2
104010,female,27,[5],6,1,3
104283,male,56,"[0, 1, 2, 5, 9]",1,5,1
105430,female,33,"[0, 1, 2, 5, 7, 8]",8,6,3
106132,male,36,"[4, 7]",7,2,3
107061,female,21,"[0, 1, 7]",13,3,3
107208,female,78,[2],0,1,1
107698,female,21,"[8, 1, 5, 9]",2,4,2
110167,male,33,"[0, 3, 4]",0,3,1
110327,female,69,[7],1,1,1
112086,male,45,"[4, 5, 6, 7, 9]",3,5,2
113135,female,72,"[0, 1]",0,2,1
113182,male,70,"[3, 5]",8,2,3
113510,female,32,"[8, 9, 2, 7]",5,4,2
114876,male,53,"[2, 7]",5,2,2
118582,female,68,[4],1,1,1
119747,female,9,[5],1,1,1
119993,male,10,[7],2,1,2
120377,female,67,[0],1,1,1
120845,male,56,"[0, 6]",3,2,2
121276,male,74,[1],2,1,2
122069,male,39,"[0, 9]",0,2,1
123867,female,38,"[8, 3, 5]",1,3,1
125691,female,24,"[8, 9, 2, 4]",13,4,3
125793,female,24,"[0, 8, 7]",8,3,3
126790,male,59,"[3, 5, 6]",5,3,2
127557,female,1,[2],2,1,2
129678,female,7,[7],1,1,1
129730,female,19,[7],1,1,1
129786,female,63,[5],3,1,2
130328,female,18,[7],6,1,3
130461,male,48,"[1, 2, 3, 6]",0,4,1
130569,female,3,[3],1,1,1
130887,male,31,"[3, 4, 5, 7]",4,4,2
132174,female,54,"[1, 3, 7]",1,3,1
132736,male,14,[9],2,1,2
133683,female,28,"[8, 1, 5]",6,3,3
134355,male,60,"[0, 3, 4, 6, 7]",8,5,3
134409,female,46,"[2, 3, 4, 5]",3,4,2
134525,male,24,[1],0,1,1
134824,female,1,[1],2,1,2
134866,male,6,[9],0,1,1
136180,female,56,"[0, 9, 6]",6,3,3
136272,female,48,"[2, 5, 6]",6,3,3
136602,male,79,[3],7,1,3
136699,male,54,"[0, 9, 5]",5,3,2
138720,female,39,"[0, 1, 3, 7]",2,4,2
140080,female,58,"[1, 2, 9, 6]",4,4,2
140931,female,46,"[5, 7]",6,2,3
142120,female,76,"[2, 5]",3,2,2
144138,female,38,"[1, 3, 4, 6, 7]",3,5,2
144246,male,54,"[2, 3, 5, 7]",10,4,3
144403,male,35,"[2, 3, 4, 6, 8, 9]",2,6,2
146993,male,42,"[1, 5]",7,2,3
0,male,65,[0],9,1,3
7,male,18,"[3, 4]",1,2,1
8,male,33,"[0, 9, 2]",2,3,2
13,male,3,[9],0,1,1
40,female,43,[7],0,1,1
47,female,61,"[1, 5]",2,2,2
48,male,74,[3],4,1,2
54,male,13,"[9, 7]",1,2,1
59,male,63,[1],1,1,1
72,female,66,[0],2,1,2
74,male,7,[2],1,1,1
78,male,5,[8],3,1,2
93,female,72,[9],0,1,1
106,male,52,"[9, 2, 4, 1]",7,4,3
109,female,13,[1],2,1,2
121,female,49,[5],3,1,2
137,male,66,"[9, 5]",2,2,2
149,male,35,"[9, 6]",1,2,1
158,male,47,"[5, 6]",0,2,1
168,female,4,[4],0,1,1
177,male,23,"[8, 9]",2,2,2
195,female,48,"[8, 1]",2,2,2
205,male,23,"[1, 3, 9]",1,3,1
206,female,55,"[0, 1, 4, 7, 9]",2,5,2
220,male,34,"[0, 3, 6, 7]",0,4,1
221,female,68,[3],3,1,2
275,male,29,"[0, 9, 7]",3,3,2
292,female,22,"[8, 4, 7]",4,3,2
320,female,73,[4],3,1,2
342,female,13,[8],0,1,1
362,female,60,"[0, 3, 5, 7]",5,4,2
371,male,61,[0],0,1,1
374,male,71,"[2, 4]",3,2,2
377,female,40,"[8, 0, 2]",1,3,1
385,female,41,"[1, 6]",4,2,2
387,male,59,"[8, 1, 4, 7]",7,4,3
391,male,58,"[9, 3, 4]",2,3,2
406,male,61,[3],1,1,1
431,male,24,"[0, 2, 3, 6]",1,4,1
434,male,47,"[3, 4, 5]",7,3,3
465,female,2,[4],0,1,1
473,male,68,"[9, 5]",2,2,2
486,male,60,"[1, 5, 9]",12,3,3
494,female,29,"[9, 3, 4, 7]",1,4,1
537,female,18,[5],0,1,1
560,male,68,"[9, 2]",1,2,1
569,female,58,"[0, 1, 2, 4]",1,4,1
600,male,15,"[1, 5]",2,2,2
605,male,47,"[1, 3, 9]",2,3,2
610,male,40,"[0, 1, 4, 6]",4,4,2
